iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
0,4.387,0.355,97953.8,97958.9,2,9
1,0.331,404632,1.112,404633,5,16
2,0.327,295821,0.902,295822,9,26
3,0.344,112738,1.07,112740,13,36
4,0.459,19206.8,7963.07,27170.5,14,39
5,2989.56,94617.7,101371,198978,15,42
6,0.471,435563,1.354,435565,25,62
7,0.506,517148,8150.41,525299,38,89
8,0.616,0.039,13943.5,13944.3,38,89
9,8030.99,29468.4,23074,60573.5,39,92
10,0.385,187872,10573.9,198447,45,104
11,9450.71,29868.7,28135.9,67455.4,46,107
12,0.386,146059,2.49,146062,52,119
13,0.487,0.126,15959.4,15960.1,52,119
14,12706.5,91487.8,57494.3,161689,54,123
15,0.554,74852.4,3.154,74856.2,58,131
16,1.048,108359,3.132,108363,63,142
17,13365.1,183829,21649.2,218844,67,150
18,0.666,276959,4.048,276963,75,166
19,15985.2,47232.7,26617.1,89835.1,77,170
20,0.35,149099,8568.76,157668,83,182
21,0.555,172082,6318.1,178401,91,198
22,0.569,143755,5658.95,149415,98,213
23,0.389,102002,7610.67,109613,103,224
24,0.431,221630,7552.18,229182,113,244
25,0.435,90751.9,7654.29,98406.7,117,252
26,24982.2,58486.6,40345.4,123814,119,256
27,0.48,391849,6318.06,398168,134,287
28,0.46,377205,7964.61,385171,150,319
29,32080.2,16709.4,5458.81,54248.6,151,322
30,0.349,160610,10000.6,170611,158,337
31,0.493,19279.7,9128.35,28408.6,159,340
32,0.309,0.059,14993.6,14994.1,159,340
33,0.304,36693.6,10118.1,46812.2,161,344
34,0.327,110139,8791.25,118931,166,355
35,0.34,0.041,15934.1,15934.6,166,355
36,0.26,103665,10380.6,114046,171,366
37,0.41,0.064,15800.4,15801,171,366
38,0.724,36035.8,9458.49,45495.1,173,370
39,0.46,138238,5598.46,143838,180,385
40,0.412,35682.2,9041.31,44724.1,182,389
41,38518.1,105272,9.974,143800,185,396
42,0.454,110404,7.274,110412,189,406
43,0.641,191601,8711.52,200313,196,421
44,0.429,149044,8543.87,157588,202,433
45,0.66,108452,10957.3,119410,206,441
46,0.643,145642,7.15,145650,212,453
47,0.766,357583,9076.46,366660,224,477
48,0.521,153591,7846.77,161438,230,489
49,0.618,151646,9449.93,161097,237,504
50,0.938,186547,7089.77,193637,245,520
51,0.527,0.158,18766.7,18767.5,245,520
52,0.378,114255,11.3,114267,250,531
53,0.43,115118,10.665,115129,255,542
54,0.457,342524,7739.8,350264,268,569
55,0.477,382896,8039.5,390937,284,601
56,0.456,150471,10087.9,160559,291,616
57,0.833,18887,10501.5,29389.5,292,619
58,0.392,0.081,15002,15002.6,292,619
59,64382.5,49479.6,21407.6,135270,294,623
60,0.52,176372,11386.9,187760,300,635
61,0.618,48604.2,9620.5,58225.6,302,639
62,63758.2,206110,17.528,269886,310,655
63,1.067,166138,8868.48,175008,316,667
64,0.611,0.075,17024.3,17025.1,316,667
65,0.328,162825,10087.6,172913,322,679
66,0.875,377682,6410.23,384093,338,711
67,0.511,39870.1,10481,50351.8,340,715
68,0.494,0.159,13390.2,13391,340,715
69,0.415,0.266,14802.2,14803,340,715
70,0.356,44373,11018,55391.4,342,719
71,73019.3,40279.1,11008.3,124307,344,723
72,0.434,105184,10598.8,115783,349,734
73,0.415,0.184,16182.5,16183.2,349,734
74,0.409,138828,6808.81,145638,356,749
75,0.412,48665,11361.9,60027.6,358,753
76,0.466,35585.7,9502.09,45088.4,360,757
77,0.429,0.059,15558.9,15559.5,360,757
78,0.472,0.106,15913.2,15913.9,360,757
79,0.451,0.126,14645.4,14646.1,360,757
80,0.352,0.055,8112.8,8113.36,360,757
81,0.262,143363,5707.21,149070,367,772
82,0.424,39020.5,10724.5,49745.6,369,776
83,77868,45939.2,16211.7,140019,371,780
84,0.843,0.145,16362.5,16363.6,371,780
85,0.332,149524,7218.58,156743,377,792
86,1.002,192933,8339.7,201274,385,808
87,0.816,94992.5,7565.68,102559,389,816
88,0.381,0.088,13134.3,13134.9,389,816
89,0.512,0.122,16245.7,16246.5,389,816
90,0.28,0.042,15426.3,15426.7,389,816
91,0.333,91569.9,23.327,91593.7,393,824
92,0.455,94388.6,15.889,94405.1,397,832
93,0.393,87316.4,7644.52,94961.5,401,840
94,0.416,129670,7220.72,136892,407,852
95,0.451,39713,9280.42,48994,409,856
96,0.545,41898.2,11797.9,53696.8,411,860
