iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices
0,3.729,20760.1,0.708,20764.6,5,16
1,0.304,11577,0.745,11578.1,9,26
2,0.21,14018.6,0.845,14019.7,17,44
3,0.326,12867.1,31.591,12899.1,22,55
4,0.389,5311.51,15.771,5327.77,30,73
5,4.714,5412.01,14.138,5430.96,32,77
6,0.41,6728.48,12.828,6741.81,48,109
7,0.277,3359.45,1.445,3361.24,57,128
8,0.34,385.712,12.757,398.897,58,131
9,6.681,1297.8,18.21,1322.79,60,135
10,0.257,2212.67,19.035,2232.13,68,151
11,6.985,548.006,2.853,557.943,71,158
12,0.339,450.329,15.43,466.186,72,161
13,0.249,0.04,20.457,20.912,72,161
14,7.156,1218.99,13.264,1239.52,73,164
15,0.467,1388.86,1.758,1391.17,76,171
16,0.382,0.094,25.69,26.267,76,171
17,7.207,444.21,15.273,466.776,77,174
18,0.283,0.05,26.031,26.446,77,174
19,8.43,2486.42,21.033,2516.07,79,178
20,0.415,5079.52,18.665,5098.7,87,196
21,0.242,4451.5,15.092,4466.92,101,224
22,0.249,3890.55,19.12,3910.01,110,243
23,0.379,673.026,22.404,695.903,111,246
24,0.317,1529.35,2.921,1532.67,114,253
25,0.266,2826.85,3.824,2831.03,122,269
26,18.495,479.41,30.596,528.617,124,273
27,0.193,1426.1,26.518,1452.91,131,288
28,0.402,367.496,22.352,390.35,132,291
29,13.247,865.911,32.4,911.678,134,295
30,0.46,0.065,55.029,55.654,134,295
31,0.06,0.099,40.492,40.75,134,295
32,0.051,0.128,35.127,35.402,134,295
33,0.053,0.034,30.046,30.23,134,295
34,0.051,0.033,30.521,30.822,134,295
35,0.056,0.033,36.833,37.025,134,295
36,0.064,0.032,29.346,29.541,134,295
37,0.053,1041.04,28.693,1069.88,139,306
38,0.285,0.052,38.02,38.454,139,306
39,0.052,0.031,37.561,37.738,139,306
40,0.113,0.037,40.265,40.514,139,306
41,18.93,254.683,23.523,297.247,140,309
42,0.129,0.038,28.385,28.649,140,309
43,0.049,189.533,35.132,224.813,142,313
44,0.115,0.031,43.094,43.336,142,313
45,0.049,0.079,35.002,35.228,142,313
46,0.049,0.033,30.109,30.285,142,313
47,0.048,934.179,4.191,938.508,147,324
48,0.321,1703.9,5.656,1709.97,153,336
49,0.394,1014.21,4.705,1019.41,159,348
50,0.91,0.181,84.674,86.013,159,348
51,0.053,1569.05,5.687,1574.89,165,360
52,0.253,1236.73,32.512,1269.74,170,371
53,0.204,0.042,40.508,40.843,170,371
54,0.05,1918.94,36.059,1955.14,176,383
55,0.318,965.627,5.964,972.034,180,391
56,0.24,0.117,43.378,43.836,180,391
57,0.106,780.201,39.92,820.325,182,395
58,0.449,1334.77,46.464,1381.81,188,407
59,27.881,999.472,45.992,1073.47,190,411
60,0.28,1173.61,31.209,1205.2,196,423
61,0.267,0.034,60.518,60.914,196,423
62,22.941,545.21,38.384,606.649,198,427
63,0.33,2647.34,29.795,2677.56,206,443
64,0.245,230.363,41.485,272.189,208,447
65,0.12,579.635,33.053,612.922,212,455
66,0.195,980.216,4.993,985.499,218,467
67,0.391,386.15,44.545,431.182,220,471
68,0.194,791.499,65.134,856.932,222,475
69,0.371,283.491,58.939,342.963,224,479
70,0.178,0.261,106.417,106.973,224,479
71,30.217,1404.84,8.181,1443.37,228,487
72,0.33,810.219,32.104,842.748,232,495
73,0.309,0.046,71.656,72.107,232,495
74,0.17,0.053,53.567,53.885,232,495
75,0.055,0.038,45.453,45.644,232,495
76,0.254,0.054,71.124,71.527,232,495
77,0.053,0.093,53.211,53.454,232,495
78,0.055,2232.56,7.052,2239.77,240,511
79,0.335,946.4,36.534,983.371,244,519
80,0.233,0.034,78.921,79.283,244,519
81,0.117,245.573,45.201,290.985,246,523
82,0.152,0.037,79.977,80.263,246,523
83,26.594,722.161,61.973,810.844,248,527
84,0.343,0.033,44.986,45.457,248,527
85,0.051,1646.65,50.339,1697.15,256,543
86,0.276,231.561,59.953,291.905,258,547
87,0.177,0.063,94.74,95.093,258,547
88,0.062,0.038,68.118,68.331,258,547
89,0.09,1626.29,40.943,1667.43,266,563
90,0.231,561.829,67.954,630.136,268,567
91,0.37,0.032,103.226,103.727,268,567
92,0.12,0.1,59.057,59.384,268,567
93,0.059,286.75,47.109,334.018,270,571
94,0.162,0.056,75.828,76.147,270,571
95,0.104,0.032,55.842,56.078,270,571
96,0.06,685.942,33.966,720.066,274,579
97,0.276,0.048,61.467,61.895,274,579
98,0.1,2255.89,57.071,2313.16,282,595
99,0.328,1516.54,48.532,1565.5,290,611
100,1.185,0.22,218.608,220.146,290,611
101,0.164,706.104,54.577,760.958,294,619
102,0.306,0.622,71.786,72.829,294,619
103,0.122,806.853,6.77,813.849,298,627
104,0.288,0.275,62.384,63.042,298,627
105,0.051,1259.28,15.548,1274.98,304,639
106,0.425,1708.18,10.296,1719.02,308,647
107,0.279,1658.12,40.41,1698.9,315,662
108,0.217,0.031,87.369,87.715,315,662
109,0.117,0.031,40.87,41.11,315,662
110,0.05,1692.21,48.059,1740.42,323,678
111,0.428,951.184,47.573,999.294,327,686
112,44.958,373.312,10.716,429.108,330,693
113,0.17,0.045,79.67,79.985,330,693
114,0.109,265.155,56.804,322.17,332,697
115,0.109,0.033,96.403,96.648,332,697
116,0.108,0.041,47.434,47.684,332,697
117,0.053,0.033,87.567,87.753,332,697
118,0.057,1313.57,42.884,1356.61,336,705
119,0.319,2596.18,56.498,2653.1,343,720
120,0.327,0.042,104.78,105.258,343,720
121,0.059,1543.58,51.896,1595.63,351,736
122,0.287,0.171,65.376,65.936,351,736
123,0.056,0.034,96.971,97.158,351,736
124,35.201,406.809,56.201,498.321,353,740
125,0.18,0.092,65.94,66.305,353,740
126,0.051,1738.58,78.108,1816.84,359,752
127,0.432,0.042,92.538,93.124,359,752
128,0.063,1053.65,12.864,1066.68,362,759
129,0.25,0.034,71.464,71.841,362,759
130,0.066,277.958,61.253,339.368,364,763
131,0.115,196.396,72.806,269.409,366,767
132,0.049,1091.89,9.035,1101.06,372,779
133,37.687,850.319,94.302,982.441,374,783
134,0.391,427.604,86.495,514.733,376,787
135,0.279,1012.09,10.259,1022.74,382,799
136,0.258,0.183,92.297,92.846,382,799
137,0.065,1097.76,55.272,1153.21,386,807
138,0.297,558.643,60.997,620.039,390,815
139,0.226,1786.39,12.986,1799.71,395,826
140,68.26,1665.73,69.734,1803.87,399,834
141,0.384,1968.16,52.935,2021.58,405,846
142,0.313,729.903,80.859,811.172,407,850
143,0.327,0.043,126.538,127.007,407,850
144,0.059,0.085,112.769,113.016,407,850
145,0.113,0.035,87.473,87.722,407,850
146,0.055,0.034,107.997,108.187,407,850
147,0.051,326.01,71.123,397.284,409,854
148,0.11,0.033,59.001,59.245,409,854
149,0.164,331.908,75.025,407.198,411,858
150,0.175,0.044,129.414,129.735,411,858
151,0.107,0.033,65.228,65.46,411,858
152,0.047,2540.43,76.606,2617.2,419,874
153,0.452,827.057,79.549,907.156,421,878
154,0.391,1015.32,10.212,1026.02,427,890
155,0.241,1267.69,72.498,1340.52,431,898
156,0.468,451.929,11.865,464.363,434,905
157,50.975,2196.87,15.58,2263.57,440,917
158,0.595,2315.89,60.136,2376.73,450,937
159,0.229,1234.55,69.599,1304.48,454,945
160,0.34,2330.94,96.227,2427.63,462,961
161,0.284,457.935,98.368,556.726,464,965
162,0.203,1425.54,71.613,1497.46,470,977
163,0.277,328.653,79.95,408.972,472,981
164,0.134,0.043,126.033,126.303,472,981
165,0.047,0.03,64.486,64.651,472,981
166,0.052,586.319,58.143,644.604,476,989
167,0.138,0.089,64.318,64.634,476,989
168,0.045,1421.11,62.473,1483.72,482,1001
169,0.389,225.647,74.894,301.027,484,1005
170,0.116,714.749,141.972,856.95,486,1009
171,0.335,974.861,85.391,1060.72,490,1017
172,0.31,513.6,96.149,610.189,492,1021
173,0.125,1841.2,74.231,1915.69,500,1037
174,0.327,1297.84,83.581,1381.85,506,1049
175,0.302,249.434,84.643,334.48,508,1053
176,0.24,269.673,87.194,357.205,510,1057
177,0.186,268.177,95.489,363.947,512,1061
178,0.099,2565.34,72.867,2638.4,520,1077
179,0.388,474.409,131.636,606.536,522,1081
180,0.325,357.663,84.552,442.642,524,1085
181,0.107,254.022,103.966,358.196,526,1089
182,0.064,2075.79,100.801,2176.79,534,1105
183,0.342,304.569,104.046,409.082,536,1109
184,0.148,373.2,127.725,501.187,538,1113
185,0.207,1039.03,88.729,1128.08,542,1121
186,0.385,1306.05,80.449,1386.99,548,1133
187,0.28,0.042,103.417,103.842,548,1133
188,0.053,577.702,97.58,675.45,550,1137
189,0.351,0.058,130.877,131.387,550,1137
190,0.101,1398.27,65.256,1463.72,558,1153
191,0.201,1742.52,98.431,1841.25,564,1165
192,0.446,974.281,12.853,987.677,568,1173
193,0.267,767.294,19.399,787.051,572,1181
194,0.171,293.066,84.924,378.256,574,1185
195,0.154,284.463,102.435,387.178,576,1189
196,289.119,363.695,80.172,733.087,577,1192
197,0.202,1020,85.642,1105.94,583,1204
198,0.211,0.096,168.137,168.536,583,1204
199,0.112,344.077,97.715,441.996,585,1208
200,1.113,2072.41,76.29,2149.92,593,1224
201,0.247,0.099,167.595,168.035,593,1224
202,0.105,1496.67,97.315,1594.19,598,1235
203,0.2,325.726,96.987,423.01,600,1239
204,0.199,693.44,74.542,768.278,604,1247
205,0.242,742.507,132.344,875.193,606,1251
206,0.362,0.036,201.077,201.577,606,1251
207,0.101,917.63,89.98,1007.81,610,1259
208,0.181,1677.7,20.926,1698.92,616,1271
209,0.282,347.994,148.138,496.515,618,1275
210,0.199,0.118,192.315,192.732,618,1275
211,0.131,1858.65,103.508,1962.39,624,1287
212,0.211,930.773,27.131,958.218,628,1295
213,0.221,0.044,153.136,153.501,628,1295
214,0.066,0.075,154.293,154.571,628,1295
215,0.058,424.59,113.398,538.151,630,1299
216,0.234,0.114,91.123,91.583,630,1299
217,0.136,0.033,164.662,164.933,630,1299
218,0.802,1454.79,26.154,1481.87,634,1307
219,77.374,321.467,116.783,515.741,636,1311
220,0.173,0.071,186.833,187.168,636,1311
221,0.049,351.566,117.697,469.407,638,1315
222,0.196,1650.37,109.643,1760.32,644,1327
223,0.213,1209.17,91.748,1301.28,650,1339
224,0.282,1821.52,111.204,1933.11,656,1351
225,0.236,403.405,115.203,518.969,658,1355
226,0.141,343.251,113.061,456.545,660,1359
227,0.139,1780.49,88.275,1869,666,1371
228,0.219,0.133,117.826,118.272,666,1371
229,80.469,237.705,89.687,407.974,667,1374
230,0.165,1123.82,89.664,1213.76,671,1382
231,0.263,628,143.245,771.631,673,1386
232,0.304,340.647,127.222,468.28,675,1390
233,0.184,464.018,111.397,575.697,677,1394
234,0.23,0.109,154.922,155.354,677,1394
235,0.092,1899.53,109.46,2009.2,683,1406
236,0.296,1833.55,102.531,1936.47,689,1418
237,124.123,483.119,120.175,727.54,691,1422
238,0.603,545.793,158.665,705.177,693,1426
239,0.541,0.173,307.75,308.567,693,1426
240,0.547,0.044,260.337,261.035,693,1426
241,0.113,1212.95,26.01,1239.17,698,1437
242,0.798,1362.46,23.712,1387.07,702,1445
243,0.964,2266.31,98.802,2366.17,710,1461
244,0.542,0.16,318.013,318.811,710,1461
245,0.466,561.576,144.027,706.183,712,1465
246,0.664,0.08,304.68,305.531,712,1465
247,0.608,0.057,169.426,170.192,712,1465
248,0.748,0.233,311.454,312.694,712,1465
249,0.282,482.586,159.215,642.275,714,1469
250,0.227,2098.95,39.785,2139.06,720,1481
251,79.904,252.116,95.149,427.276,721,1484
252,0.649,539.947,168.257,708.976,723,1488
253,0.536,2183.08,26.541,2210.28,729,1500
254,121.008,443.379,131.528,696.029,731,1504
255,55.144,829.679,27.068,912.018,734,1511
256,149.212,647.359,197.767,994.462,736,1515
257,0.894,2940.38,137.284,3078.67,742,1527
258,0.396,390.84,117.516,508.879,743,1530
259,1.131,818.902,170.986,991.142,745,1534
260,0.242,1055.5,180.732,1236.58,747,1538
261,0.501,569.867,130.805,701.283,748,1541
262,1.172,0.234,422.651,424.165,748,1541
263,0.48,1858.09,31.903,1890.58,752,1549
264,1.311,2355.26,123.189,2479.87,758,1561
265,163.368,601.596,142.113,907.216,760,1565
266,0.847,1610,31.029,1641.99,764,1573
267,0.446,0.215,291.447,292.215,764,1573
268,0.653,1143.07,32.644,1176.46,768,1581
269,0.134,830.772,115.099,946.253,771,1588
270,0.145,0.096,223.689,224.044,771,1588
