iteration,find_best_us,split_us,update_info_us,total_us,active_faces,n_vertices,cascade_activations,faces_created,edges_created,add_face_calls,update_info_calls
0,5.195,22152.8,0.686,22158.8,5,16,1,36,32,18,22
1,0.224,11820.9,1.005,11822.2,9,26,2,48,44,24,27
2,0.31,15483.5,0.975,15484.8,17,44,4,96,84,48,54
3,0.289,14755.3,14.797,14770.5,22,55,2,60,52,30,36
4,0.319,5898.65,14.947,5914,30,73,4,96,84,48,60
5,4.421,5670.85,16.283,5691.66,32,77,0,24,20,12,16
6,0.538,7172.52,14.443,7187.6,48,109,7,192,160,96,113
7,0.336,3644.09,1.743,3646.29,57,128,4,108,92,54,60
8,0.541,330.323,16.996,347.999,58,131,0,12,12,6,9
9,7.167,1368.7,27.757,1403.77,60,135,0,24,20,12,16
10,0.346,2553.2,24.101,2577.78,68,151,3,96,80,48,58
11,11.546,277.226,18.07,306.958,70,155,0,24,20,12,16
12,0.082,252.271,13.533,265.982,71,158,0,12,12,6,9
13,0.094,0.062,18.885,25.76,71,158,0,0,0,0,5
14,5.99,1631.93,18.927,1656.96,72,161,0,12,12,6,9
15,0.492,1432.84,1.816,1435.27,75,168,1,36,32,18,22
16,0.276,0.156,25.877,26.392,75,168,0,0,0,0,5
17,9.327,705.178,3.411,718.136,78,175,1,36,32,18,21
18,0.4,0.065,32.369,32.923,78,175,0,0,0,0,5
19,9.924,4344.78,20.516,4375.32,84,187,2,72,60,36,43
20,0.397,6340.97,35.369,6376.84,92,205,4,96,84,48,60
21,0.447,3750.36,19.759,3770.66,104,229,5,144,120,72,89
22,0.555,3751.76,23.03,3775.49,113,248,4,108,92,54,66
23,0.292,231.144,22.142,253.675,114,251,0,12,12,6,9
24,0.222,1825.47,3.419,1829.32,117,258,1,36,32,18,22
25,0.296,2523.16,3.334,2526.92,125,274,3,96,80,48,55
26,14.282,942.319,37.118,993.857,127,278,0,24,20,12,16
27,0.542,1409.11,31.045,1440.8,134,293,3,84,72,42,52
28,0.409,858.124,26.773,885.438,135,296,0,12,12,6,9
29,17.608,509.811,27.946,555.458,137,300,0,24,20,12,16
30,0.492,1134.78,24.232,1159.63,143,312,2,72,60,36,47
31,0.484,1780.2,22.41,1803.22,151,328,3,96,80,48,62
32,0.397,0.034,47.13,47.655,151,328,0,0,0,0,8
33,0.054,162.164,32.495,194.813,153,332,0,24,20,12,16
34,0.095,1610.05,4.104,1614.33,159,344,2,72,60,36,43
35,0.362,524.576,30.293,555.36,163,352,1,48,40,24,31
36,0.389,0.058,84.708,85.272,163,352,0,0,0,0,8
37,0.054,387.717,43.033,430.931,165,356,0,24,20,12,16
38,0.363,0.035,43.081,43.567,165,356,0,0,0,0,6
39,0.055,0.07,58.888,59.099,165,356,0,0,0,0,8
40,0.062,0.078,43.306,43.534,165,356,0,0,0,0,6
41,19.099,293.73,28.022,340.954,166,359,0,12,12,6,9
42,0.121,0.042,39.384,39.635,166,359,0,0,0,0,5
43,0.05,0.032,31.296,31.465,166,359,0,0,0,0,5
44,0.049,0.032,38.121,38.289,166,359,0,0,0,0,6
45,0.048,0.032,32.472,32.64,166,359,0,0,0,0,5
46,0.05,0.031,32.195,32.364,166,359,0,0,0,0,5
47,0.05,0.105,42.131,42.373,166,359,0,0,0,0,6
48,0.049,0.033,32.066,32.236,166,359,0,0,0,0,5
